user_name,password,nickname,email,gender_id,birth,website,about,admin_level_id
user01,$2b$12$i97yDYENP.vrV3HLQocLEuVyvYt8LQgxhPTKxhPalRsa/XJuHjKnO,styleuser01,user01@stylewe.com,,,,,
user02,$2b$12$NDcHz10DwTpeoxkFAX1/puTThSq/v5irvLW8jyCPdaqcSHa2vuz6e,styleuser02,user02@stylewe.com,,,,,
user03,$2b$12$0GCWdFh3QElGn/ok5rHrve0SF6LW9vtBSRqnDcAP9keC1XceBjbIu,styleuser03,user03@stylewe.com,,,,,
user04,$2b$12$lWUkRfSzlNBy93Yq2Fk04.HBV0gA1TsxXHSUUSwEB9Ka9.Ih98Zka,styleuser04,user04@stylewe.com,,,,,
user05,$2b$12$OeGH.CnK1nZupuoJYHEO2uyyJili6K25A/5Z9E6WKyyvMpjEnmD8e,styleuser05,user05@stylewe.com,,,,,
user06,$2b$12$xX5ox6wYYIAS88DTXvXyaOxG12bW1BmLnFdkzZY5wFEgAiJPQHizK,styleuser06,user06@stylewe.com,,,,,
user07,$2b$12$NGqOyct7a64/fjmhBLXEg.ZywdZyNtYWP9Nm7Ygaj.7Euq/bx5p/G,styleuser07,user07@stylewe.com,,,,,
user08,$2b$12$6KYVJ2o6VbZLTd28vn0DeOwGrddriOBbtFL3CFGZQQ9/bzpTrBJ1.,styleuser08,user08@stylewe.com,,,,,
user09,$2b$12$o6THM2KRItIcJ5EJDrtETOJxz/TvHFvcmUyjx3n1bghKy4hdkQScS,styleuser09,user09@stylewe.com,,,,,
user10,$2b$12$qiKTm0ElBJIWLwzoV0I21O8G8HDJp81fug9yf63v0EtSFk3.pI5yO,styleuser10,user10@stylewe.com,,,,,
user11,$2b$12$l4vzAfZpVDLmk2vK8QwEneIO1ZkwIg26q3.NQEEzQiPZl9ZWZeaLO,styleuser11,user11@stylewe.com,,,,,
user12,$2b$12$ZrjecJabSrq.W4tdn1613.3SbtO7RYjncFAWtqRnARknqOdLK/9iq,styleuser12,user12@stylewe.com,,,,,
user13,$2b$12$Lf/NiugVozIszvXBDtlHBeDlvLCIjOiqS9ylql2hlTymLbT1GSF.W,styleuser13,user13@stylewe.com,,,,,
user14,$2b$12$kJ3dtlAvZtjVOB4mI3LXieM4M1.1SjaiE0QbNGW2uNqMiLYY62OX2,styleuser14,user14@stylewe.com,,,,,
user15,$2b$12$6xEnt3TWRu95JgwwNkVYUOj1QtkoCc7izeomwX9Zd2ecJgAV2io6C,styleuser15,user15@stylewe.com,,,,,
user16,$2b$12$zR6JYZP6fnv4qAyvU9HunOMc1FdT2Nx4MycWqrTCASRWNtZxoJw7m,styleuser16,user16@stylewe.com,,,,,
user17,$2b$12$TdIBUE7sg23QPBDAu.FNUem/0nGFvzT2ZrXCxsAdYm92NdwhM8Mwu,styleuser17,user17@stylewe.com,,,,,
user18,$2b$12$q73DzNjlDtHARYygxCc1B.OIO8ebfXk1vzqdiyqWLPIChj.DNm9da,brand01,brand01@stylewe.com,,,,,2
user19,$2b$12$fvlWuZtxfObVePOMyYKNaeoynOQpV3ptpaMpoo2YX/T.JvA/DqURW,brand02,brand02@stylewe.com,,,,,2
user20,$2b$12$N/57rK4H2.Cav6SAWlBOgO63JbSjd8AIyxQIUZjRrFH9py5blHKdu,brand03,brand03@stylewe.com,,,,,2
user21,$2b$12$s8HCG3MlgUi5B55xWPgryOcXvXW.OFj08D0p2REBWpWMtzwIm4v62,admin01,admin01@stylewe.com,,,,,3
